company_name,title,date,url
Blee,"Senior Product Manager, Growth",2026-08-27,https://www.linkedin.com/jobs/view/senior-product-manager-growth-at-blee-4459645912
Agentio,"Recruiter— GTM, G&A",2026-09-10,https://www.linkedin.com/jobs/view/recruiter%E2%80%94-gtm-g-a-at-agentio-4465674188
Agentio,Client Growth Manager,2026-08-26,https://www.linkedin.com/jobs/view/client-growth-manager-at-agentio-4459337925
Agentio,Growth Marketing Lead,2026-08-26,https://www.linkedin.com/jobs/view/growth-marketing-lead-at-agentio-4393907999
Agentio,Client Growth Director,2026-08-26,https://www.linkedin.com/jobs/view/client-growth-director-at-agentio-4459338822
Cortex,Business Development Representative,2026-09-02,https://www.linkedin.com/jobs/view/business-development-representative-at-cortex-4459961606
Cortex,BDR Manager,2026-08-27,https://www.linkedin.com/jobs/view/bdr-manager-at-cortex-4448432669
Vendelux,Field Sales Development Representative,2026-08-25,https://www.linkedin.com/jobs/view/field-sales-development-representative-at-vendelux-4415978207
BriefCatch,"Director, Growth Marketing",2026-09-02,https://www.linkedin.com/jobs/view/director-growth-marketing-at-briefcatch-4461796474
